276,384,150,407,269
279,60,380,83,399
280,48,180,95,219
281,264,40,311,75
282,264,200,311,234
284,192,300,239,339
285,60,261,83,280
547,204,340,227,399
548,84,380,203,399
549,60,281,83,379
295,60,220,83,260
296,60,145,83,179
297,96,70,179,89
298,156,50,263,69
299,264,76,311,114
300,276,160,299,199
301,240,130,263,149
302,312,130,383,149
303,312,50,383,69
304,384,50,407,129
305,312,210,373,229
306,336,270,407,289
307,312,270,335,329
308,240,310,311,329
309,132,130,179,149
310,132,150,155,309
311,132,310,191,329
313,0,190,47,213
314,276,0,299,39
315,300,0,371,19
320,60,100,83,144
349,264,235,311,239
551,0,10,23,189
